Latitud,Longitud,ALA,Fuente,TipoEstacion,NombreEstacion,Variable,Fecha,Hora,Valor,UnidadMedida
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,05/01/1969,00:00,1.8,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,06/01/1969,00:00,1.9,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,07/01/1969,00:00,1.63,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,08/01/1969,00:00,2.2,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,09/01/1969,00:00,1.49,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,10/01/1969,00:00,1.63,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,11/01/1969,00:00,1.8,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,12/01/1969,00:00,2,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,13/01/1969,00:00,1.7,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,14/01/1969,00:00,1.9,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,15/01/1969,00:00,2.3,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,16/01/1969,00:00,2.2,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,17/01/1969,00:00,2,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,18/01/1969,00:00,1.8,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,19/01/1969,00:00,1.7,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,20/01/1969,00:00,1.49,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,21/01/1969,00:00,1.21,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,22/01/1969,00:00,1.21,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,23/01/1969,00:00,1.42,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,24/01/1969,00:00,1.63,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,25/01/1969,00:00,1.8,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,26/01/1969,00:00,1.56,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,27/01/1969,00:00,1.7,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,28/01/1969,00:00,1.7,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,29/01/1969,00:00,1.63,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,30/01/1969,00:00,1.56,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,31/01/1969,00:00,1.49,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,01/02/1969,00:00,1.42,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,02/02/1969,00:00,1.35,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,03/02/1969,00:00,1.7,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,04/02/1969,00:00,3.22,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,05/02/1969,00:00,7.98,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,06/02/1969,00:00,7.98,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,07/02/1969,00:00,5.52,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,08/02/1969,00:00,4.57,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,09/02/1969,00:00,4.76,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,10/02/1969,00:00,4.95,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,11/02/1969,00:00,3.87,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,12/02/1969,00:00,5.14,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,13/02/1969,00:00,18.7,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,14/02/1969,00:00,20,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,15/02/1969,00:00,15.8,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,16/02/1969,00:00,11.1,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,17/02/1969,00:00,9.61,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,18/02/1969,00:00,12.7,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,19/02/1969,00:00,18.7,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,20/02/1969,00:00,27.4,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,21/02/1969,00:00,27.4,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,22/02/1969,00:00,23.8,m³/s
